## Referências Legais

| Artigo | Lei | Conteúdo |
|--------|-----|----------|
| Art. 2º | CDC 8.078/90 | Definição de consumidor |
| Art. 3º | CDC 8.078/90 | Definição de fornecedor |
| Art. 4º, I | CDC 8.078/90 | Vulnerabilidade do consumidor |
| Art. 4º, III | CDC 8.078/90 | Boa-fé e equilíbrio nas relações |
| Art. 6º, VIII | CDC 8.078/90 | Inversão do ônus da prova |
| Art. 7º, §único | CDC 8.078/90 | Responsabilidade solidária da cadeia |
| Art. 14 | CDC 8.078/90 | Responsabilidade objetiva do fornecedor de serviços |
| Art. 14, §3º | CDC 8.078/90 | Excludentes de responsabilidade |
| Art. 18, §1º, II | CDC 8.078/90 | Restituição do valor pago atualizado |
| Art. 26 | CDC 8.078/90 | Prazo de decadência (30/90 dias) |
| Art. 27 | CDC 8.078/90 | Prazo prescricional (5 anos) |
| Art. 35, III | CDC 8.078/90 | Rescisão contratual e restituição |
| Art. 39 | CDC 8.078/90 | Práticas abusivas proibidas |
| Art. 51 | CDC 8.078/90 | Cláusulas abusivas nulas de pleno direito |
| Art. 5º, X | CF 1988 | Inviolabilidade da honra e imagem |
| Art. 1º, III | CF 1988 | Dignidade da pessoa humana |
| Art. 98 | CPC 13.105/15 | Gratuidade de justiça |
| Art. 373, §1º | CPC 13.105/15 | Distribuição dinâmica do ônus da prova |
| Art. 406 | CC 10.406/02 | Juros legais de mora (1% ao mês) |
| Art. 3º | Lei 9.099/95 | Competência do Juizado (até 40 SM) |
| Art. 41 | Lei 9.099/95 | Recurso inominado (prazo: 10 dias) |
| Art. 42 | Lei 9.099/95 | Contrarrazões (prazo: 10 dias) |
| Art. 48 | Lei 9.099/95 | Embargos de declaração (prazo: 5 dias) |
| Art. 55 | Lei 9.099/95 | Honorários em grau recursal (10%–20%) |
| Art. 1.048, I | CPC/2015 | Tramitação prioritária (idosos) |
| Art. 71 | Lei 10.741/03 | Tramitação prioritária para idosos |
| Art. 98 | CPC/2015 | Gratuidade de justiça |
