## Referências Legais

| Artigo | Diploma | Conteúdo |
|--------|---------|----------|
| Art. 1.196 | CC/2002 | Conceito de possuidor |
| Art. 1.197 | CC/2002 | Composse e posse direta/indireta |
| Art. 1.200 | CC/2002 | Posse justa |
| Art. 1.201 | CC/2002 | Posse de boa-fé |
| Art. 1.203 | CC/2002 | Caráter da posse (mantém-se como iniciada) |
| Art. 1.206 | CC/2002 | Transmissão da posse (*accessio possessionis*) |
| Art. 1.207 | CC/2002 | Sucessão universal na posse |
| Art. 1.210 | CC/2002 | Direito do possuidor à manutenção/reintegração |
| Art. 1.211 | CC/2002 | Efeito da posse |
| Art. 1.228 | CC/2002 | Direito de reivindicar do proprietário |
| Art. 1.238 | CC/2002 | Usucapião extraordinário (15 anos) |
| Art. 1.239 | CC/2002 | Usucapião especial rural (5 anos, 50ha) |
| Art. 1.240 | CC/2002 | Usucapião especial urbano (5 anos, 250m²) |
| Art. 1.784 | CC/2002 | Transmissão imediata da posse na herança |
| Art. 554, caput | CPC/2015 | Fungibilidade das possessórias |
| Art. 557, §2º | CPC/2015 | Vedação de discussão de domínio em possessória |
| Art. 558 | CPC/2015 | Conceito de ameaça/turbação/esbulho |
| Art. 560 | CPC/2015 | Competência: foro da situação do imóvel |
| Art. 561 | CPC/2015 | Requisitos da petição possessória |
| Art. 562 | CPC/2015 | Liminar em força nova |
| Art. 567 | CPC/2015 | Interdito proibitório |
| Art. 71 | Lei 10.741/03 | Tramitação prioritária para idosos |
| Art. 98 | CPC/2015 | Gratuidade de justiça |
| Súmula 237 | STF | Usucapião como matéria de defesa |
| Art. 5º, XXII | CF/1988 | Direito de propriedade |
| Art. 5º, XXIII | CF/1988 | Função social da propriedade |
| Art. 71 | Lei 10.741/03 | Tramitação prioritária para idosos |
| Art. 98 | CPC/2015 | Gratuidade de justiça |
