DISCIPLINA;TEMA_ESPECIFICO;OCORRENCIAS
Não Classificado;Não Classificado;172
Tecnologia da Informação / Análise de Dados;EFD ICMS/IPI / NF-e / SPED;44
Direito Empresarial;Sociedades Empresárias;43
Contabilidade Geral;Balanço Patrimonial;37
Direito Tributário;Simples Nacional / MEI;34
Direito Tributário;Administração Tributária / Fiscalização;29
Direito Tributário;ICMS - Fato Gerador e Incidência;28
Direito Tributário;Direito Tributário - Geral;27
Direito Tributário;Obrigação e Crédito Tributário;24
Auditoria;NBC TA 500 - Evidência de Auditoria;21
Contabilidade Geral;DRE e Apuração de Lucro;21
Direito Constitucional;Direito Constitucional - Outros;20
Direito Constitucional;Organização dos Poderes;18
Tecnologia da Informação / Análise de Dados;Banco de Dados Relacional;16
Direito Civil;Propriedade e Posse;15
Matemática Financeira;VPL / TIR;14
Contabilidade de Custos;Classificação de Custos;13
Direito Tributário;Contribuições;13
Direito Tributário;Legislação Tributária / CTN;12
Direito Civil;Sucessão;12
Contabilidade Geral;Contabilidade - Geral/Outros;11
Contabilidade Geral;Equivalência Patrimonial;11
Direito Administrativo;Licitações;11
Auditoria;Auditoria - Outros;10
Contabilidade Geral;Ativo Intangível e Impairment;10
Direito Administrativo;Servidor Público;9
Direito Administrativo;Administração Direta e Indireta;9
Direito Civil;Contratos em Espécie;9
Direito Constitucional;Organização Político-Administrativa;9
Direito Penal;Crimes contra Ordem Tributária;9
Contabilidade Geral;Patrimônio Líquido e Destinação de Lucro;8
Contabilidade Geral;Depreciação;8
Direito Empresarial;Títulos de Crédito;7
Direito Administrativo;Responsabilidade Civil do Estado;7
Direito Administrativo;Improbidade Administrativa;7
Estatística;Regressão e Correlação;7
Estatística;Distribuição Normal / Z;7
Direito Tributário;Limitações ao Poder de Tributar;7
Direito Civil;Obrigações;7
Matemática Financeira;Juros Simples e Compostos;7
Língua Portuguesa;Estrutura Argumentativa;7
Auditoria;NBC TA 530 - Amostragem;6
Auditoria;Controles Internos;6
Contabilidade Geral;Escrituração e Balancete;6
Direito Administrativo;Direito Administrativo - Outros;6
Direito Tributário;ICMS - Base de Cálculo;6
Direito Tributário;ICMS - Benefícios Fiscais / Convênio CONFAZ;6
Direito Civil;Negócio Jurídico;6
